Name,Author,User Rating,Reviews,Price,Year,Genre,,          pdf_url
10-Day Green Smoothie Cleanse,JJ Smith,4.7,17350,8,2016,Non Fiction,,/static/pdf/10-Day-Green-Smoothie-Cleanse.pdf
11/22/63: A Novel,Stephen King,4.6,2052,22,2011,Fiction,,/static/pdf/11-22-63-A-Novel.pdf
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,18979,15,2018,Non Fiction,,/static/pdf/12-Rules-for-Life-An-Antidote-to-Chaos.pdf
1984 (Signet Classics),George Orwell,4.7,21424,6,2017,Fiction,,/static/pdf/1984-Signet-Classics.pdf
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8,7665,12,2019,Non Fiction,,/static/pdf/5-000-Awesome-Facts-About-Everything-National-Geographic-Kids.pdf
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,12643,11,2011,Fiction,,/static/pdf/A-Dance-with-Dragons-A-Song-of-Ice-and-Fire.pdf
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,19735,30,2014,Fiction,,/static/pdf/A-Game-of-Thrones-A-Clash-of-Kings-A-Storm-of-Swords-A-Feast-of-Crows-A-Dance-with-Dragons.pdf
A Gentleman in Moscow: A Novel,Amor Towles,4.7,19699,15,2017,Fiction,,/static/pdf/A-Gentleman-in-Moscow-A-Novel.pdf
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,5983,3,2018,Non Fiction,,/static/pdf/A-Higher-Loyalty-Truth-Lies-and-Leadership.pdf
A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,2016,Fiction,,/static/pdf/A-Man-Called-Ove-A-Novel.pdf
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,460,2,2010,Non Fiction,,/static/pdf/A-Patriot-s-History-of-the-United-States-From-Columbus-s-Great-Discovery-to-the-War-on-Terror.pdf
A Stolen Life: A Memoir,Jaycee Dugard,4.6,4149,32,2011,Non Fiction,,/static/pdf/A-Stolen-Life-A-Memoir.pdf
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.5,5153,5,2018,Fiction,,/static/pdf/A-Wrinkle-in-Time-Time-Quintet.pdf
